config,seed,method,k,distortion
spread=0.18,1,kmeans,4,0.010622
spread=0.18,1,median_cut,4,0.013062
spread=0.18,1,kmeans,16,0.003343
spread=0.18,1,median_cut,16,0.004620
spread=0.18,1,kmeans,64,0.001302
spread=0.18,1,median_cut,64,0.001639
spread=0.18,1,kmeans,256,0.000434
spread=0.18,1,median_cut,256,0.000532
spread=0.18,2,kmeans,4,0.008590
spread=0.18,2,median_cut,4,0.008881
spread=0.18,2,kmeans,16,0.002633
spread=0.18,2,median_cut,16,0.003885
spread=0.18,2,kmeans,64,0.000867
spread=0.18,2,median_cut,64,0.001254
spread=0.18,2,kmeans,256,0.000310
spread=0.18,2,median_cut,256,0.000444
spread=0.18,3,kmeans,4,0.012935
spread=0.18,3,median_cut,4,0.013452
spread=0.18,3,kmeans,16,0.004167
spread=0.18,3,median_cut,16,0.005419
spread=0.18,3,kmeans,64,0.001477
spread=0.18,3,median_cut,64,0.001690
spread=0.18,3,kmeans,256,0.000432
spread=0.18,3,median_cut,256,0.000618
spread=0.18,4,kmeans,4,0.010024
spread=0.18,4,median_cut,4,0.011095
spread=0.18,4,kmeans,16,0.003520
spread=0.18,4,median_cut,16,0.004152
spread=0.18,4,kmeans,64,0.001320
spread=0.18,4,median_cut,64,0.001647
spread=0.18,4,kmeans,256,0.000478
spread=0.18,4,median_cut,256,0.000609
spread=0.18,5,kmeans,4,0.011313
spread=0.18,5,median_cut,4,0.016322
spread=0.18,5,kmeans,16,0.003505
spread=0.18,5,median_cut,16,0.004433
spread=0.18,5,kmeans,64,0.001289
spread=0.18,5,median_cut,64,0.001586
spread=0.18,5,kmeans,256,0.000431
spread=0.18,5,median_cut,256,0.000521
spread=0.18,6,kmeans,4,0.013342
spread=0.18,6,median_cut,4,0.013204
spread=0.18,6,kmeans,16,0.004116
spread=0.18,6,median_cut,16,0.004709
spread=0.18,6,kmeans,64,0.001464
spread=0.18,6,median_cut,64,0.001589
spread=0.18,6,kmeans,256,0.000495
spread=0.18,6,median_cut,256,0.000605
spread=0.18,7,kmeans,4,0.012451
spread=0.18,7,median_cut,4,0.013145
spread=0.18,7,kmeans,16,0.004208
spread=0.18,7,median_cut,16,0.004568
spread=0.18,7,kmeans,64,0.001787
spread=0.18,7,median_cut,64,0.001795
spread=0.18,7,kmeans,256,0.000483
spread=0.18,7,median_cut,256,0.000618
spread=0.18,8,kmeans,4,0.013577
spread=0.18,8,median_cut,4,0.013507
spread=0.18,8,kmeans,16,0.004676
spread=0.18,8,median_cut,16,0.004026
spread=0.18,8,kmeans,64,0.002076
spread=0.18,8,median_cut,64,0.001413
spread=0.18,8,kmeans,256,0.000400
spread=0.18,8,median_cut,256,0.000530
